bin_center,count
-25.92817709747662,108
-25.565805547570797,71
-25.203433997664966,9
-24.841062447759143,0
-24.47869089785332,0
-24.11631934794749,0
-23.753947798041665,0
-23.391576248135834,0
-23.02920469823001,0
-22.66683314832418,0
-22.304461598418357,0
-21.94209004851253,0
-21.579718498606702,12
-21.21734694870088,345
-20.854975398795048,545
-20.492603848889225,874
-20.130232298983397,986
-19.76786074907757,903
-19.405489199171743,838
-19.043117649265916,625
-18.680746099360093,398
-18.318374549454262,119
-17.95600299954844,1
-17.59363144964261,0
-17.231259899736784,0
-16.868888349830957,0
-16.50651679992513,0
-16.144145250019307,1
-15.781773700113478,20
-15.41940215020765,82
-15.057030600301825,609
-14.694659050395998,1780
-14.332287500490171,2291
-13.969915950584344,1875
-13.607544400678519,1160
-13.245172850772692,669
-12.882801300866864,587
-12.52042975096104,194
-12.158058201055212,62
-11.795686651149385,64
-11.433315101243558,67
-11.070943551337733,0
-10.708572001431905,0
-10.346200451526078,100
-9.983828901620251,369
-9.621457351714424,1013
-9.259085801808599,1871
-8.896714251902774,2797
-8.534342701996946,2703
-8.17197115209112,944
-7.809599602185292,149
-7.447228052279465,0
-7.084856502373638,3
-6.722484952467813,88
-6.360113402561987,356
-5.99774185265616,512
-5.635370302750333,826
-5.272998752844506,1590
-4.910627202938679,2341
-4.548255653032852,2065
-4.185884103127027,2116
-3.8235125532212013,1796
-3.461141003315374,408
-3.098769453409547,847
-2.73639790350372,1349
-2.374026353597893,568
-2.011654803692066,700
-1.6492832537862405,570
-1.2869117038804152,325
-0.9245401539745881,180
-0.562168604068761,203
-0.19979705416293392,314
0.16257449574289318,279
0.5249460456487203,347
0.8873175955545456,372
1.249689145460371,781
1.612060695366198,1166
1.974432245272025,1301
2.336803795177852,1032
2.6991753450836793,911
3.0615468949895064,1161
3.4239184448953317,1074
3.786289994801157,1109
4.148661544706984,947
4.511033094612811,893
4.873404644518638,1408
5.235776194424465,1662
5.5981477443302925,1598
5.960519294236118,1165
6.322890844141945,403
6.685262394047772,83
7.047633943953599,201
7.410005493859426,125
7.77237704376525,61
8.134748593671077,225
8.497120143576904,548
8.859491693482731,681
9.221863243388558,1035
9.584234793294385,1642
9.946606343200212,1931
10.308977893106036,563
10.671349443011863,77
11.03372099291769,23
11.396092542823517,4
11.758464092729344,10
12.120835642635171,27
12.483207192540998,160
12.845578742446822,587
13.207950292352649,1369
13.570321842258476,439
13.932693392164303,154
14.29506494207013,184
14.657436491975957,244
15.019808041881785,219
15.382179591787608,44
15.744551141693435,205
16.106922691599262,483
16.46929424150509,412
16.831665791410916,378
17.194037341316744,721
17.55640889122257,1308
17.918780441128394,2212
18.28115199103422,1978
18.64352354094005,1240
19.005895090845875,537
19.368266640751703,449
19.73063819065753,534
20.093009740563357,313
20.45538129046918,1
20.817752840375007,0
21.180124390280834,7
21.54249594018666,281
21.90486749009249,393
22.267239039998316,161
22.629610589904143,94
22.991982139809966,44
23.354353689715794,24
23.71672523962162,39
24.079096789527448,16
24.441468339433275,0
24.803839889339102,0
25.16621143924493,0
25.528582989150753,0
25.89095453905658,18
26.253326088962407,142
26.615697638868234,106
26.97806918877406,0
27.340440738679888,41
27.702812288585715,67
28.06518383849154,34
