# frame a b c d e f angle(deg)
167 5 1 0 7 6 3 9.701742
168 0 4 1 5 2 7 31.712734
169 0 6 2 7 4 5 26.588908
170 2 4 1 7 3 6 65.356153
171 3 1 5 7 0 6 5.974464
172 0 4 6 7 5 1 34.351233
173 1 5 3 7 4 0 47.535053
174 3 6 2 7 5 0 66.970734
175 3 6 2 7 5 0 42.729237
176 5 1 7 6 3 0 19.496892
177 2 0 4 7 1 3 33.479835
178 0 4 3 7 2 1 63.325457
179 0 2 4 7 1 3 7.410664
180 3 1 6 7 2 0 157.596439
181 2 4 0 7 1 6 16.515499
182 0 4 2 7 6 5 0.627735
