bin_center,count
-24.72164739806584,7
-24.392863594568617,40
-24.064079791071393,95
-23.73529598757417,192
-23.40651218407695,258
-23.077728380579725,270
-22.7489445770825,267
-22.420160773585277,274
-22.091376970088053,314
-21.76259316659083,357
-21.43380936309361,493
-21.105025559596385,589
-20.77624175609916,697
-20.447457952601937,797
-20.118674149104713,819
-19.78989034560749,697
-19.46110654211027,654
-19.132322738613045,566
-18.80353893511582,469
-18.474755131618597,477
-18.145971328121373,479
-17.81718752462415,499
-17.488403721126925,526
-17.159619917629705,466
-16.83083611413248,373
-16.502052310635257,317
-16.173268507138033,317
-15.84448470364081,366
-15.515700900143587,438
-15.186917096646363,491
-14.858133293149141,527
-14.529349489651917,534
-14.200565686154693,477
-13.87178188265747,482
-13.542998079160247,530
-13.214214275663023,652
-12.885430472165801,831
-12.556646668668577,1119
-12.227862865171353,1282
-11.89907906167413,1210
-11.570295258176905,1214
-11.241511454679683,1421
-10.91272765118246,1543
-10.583943847685237,1525
-10.255160044188013,1589
-9.92637624069079,1515
-9.597592437193565,1420
-9.268808633696343,1475
-8.940024830199121,1426
-8.611241026701897,1418
-8.282457223204673,1293
-7.9536734197074495,1224
-7.6248896162102255,1157
-7.296105812713002,1155
-6.9673220092157795,1110
-6.638538205718557,968
-6.309754402221333,855
-5.9809705987241095,880
-5.652186795226886,924
-5.323402991729662,852
-4.9946191882324396,721
-4.665835384735217,630
-4.3370515812379935,653
-4.00826777774077,612
-3.6794839742435457,562
-3.3507001707463218,538
-3.021916367249098,639
-2.6931325637518757,838
-2.3643487602546536,1032
-2.0355649567574297,1064
-1.7067811532602057,909
-1.3779973497629818,843
-1.049213546265758,886
-0.7204297427685358,906
-0.39164593927131364,978
-0.06286213577408972,1104
0.2659216677231342,1377
0.5947054712203581,1786
0.923489274717582,2030
1.252273078214806,2029
1.581056881712028,1991
1.9098406852092502,1993
2.238624488706474,2001
2.567408292203698,1945
2.896192095700922,1842
3.224975899198146,1755
3.553759702695368,1605
3.88254350619259,1455
4.211327309689814,1428
4.540111113187038,1469
4.868894916684262,1483
5.197678720181486,1474
5.526462523678708,1394
5.85524632717593,1411
6.184030130673154,1469
6.512813934170378,1594
6.841597737667602,1615
7.170381541164824,1499
7.499165344662046,1469
7.82794914815927,1408
8.156732951656494,1287
8.485516755153718,1367
8.814300558650942,1436
9.143084362148166,1535
9.47186816564539,1607
9.800651969142613,1419
10.129435772639837,1336
10.458219576137061,1420
10.787003379634282,1412
11.115787183131502,1235
11.444570986628726,911
11.77335479012595,658
12.102138593623174,501
12.430922397120398,466
12.759706200617622,431
13.088490004114846,408
13.41727380761207,477
13.746057611109293,591
14.074841414606517,759
14.403625218103741,925
14.732409021600965,888
15.061192825098185,771
15.389976628595406,703
15.71876043209263,695
16.047544235589854,763
16.376328039087078,740
16.7051118425843,744
17.033895646081525,671
17.36267944957875,560
17.691463253075973,511
18.020247056573197,506
18.34903086007042,611
18.677814663567645,630
19.00659846706487,501
19.33538227056209,324
19.66416607405931,214
19.992949877556534,127
20.321733681053757,118
20.65051748455098,176
20.979301288048205,209
21.30808509154543,244
21.636868895042653,272
21.965652698539877,303
22.2944365020371,347
22.623220305534325,356
22.95200410903155,292
23.280787912528773,169
23.609571716025993,90
23.938355519523213,28
24.267139323020437,6
