n_configs,js_divergence_consecutive
90,
180,0.1584261456903939
270,0.10180475408618027
360,0.08284963379112723
450,0.04849213475957488
540,0.03797822255733922
630,0.021121560572664084
720,0.013881695006159553
810,0.022791447044375773
900,0.00906027343435558
990,0.018470548664703275
1080,0.011106096932090432
1170,0.00900008910037319
1260,0.008713419973942812
1350,0.009470248953714261
