icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
93,93,As43,As59,2.43821,-4.60379,0.9251729251990499
94,94,As43,As71,2.45515,-4.41426,0.8870851704333077
95,95,As44,As60,2.43821,-4.60308,0.9250302443259234
96,96,As44,As72,2.45515,-4.414,0.8870329210994867
97,97,As49,As57,2.48815,-4.28853,0.8618185983513325
98,98,As50,As58,2.48815,-4.28824,0.8617603202482246
99,99,As51,As59,2.48816,-4.28847,0.8618065408127585
100,100,As52,As60,2.48815,-4.28848,0.8618085504025208
101,101,As53,As65,2.44755,-4.40549,0.8853227602117304
102,102,As53,As73,2.44551,-4.53345,0.9110374708107087
103,103,As54,As66,2.44755,-4.40541,0.8853066834936316
104,104,As54,As74,2.44552,-4.53341,0.9110294324516593
105,105,As55,As67,2.44755,-4.40544,0.8853127122629185
106,106,As55,As75,2.44551,-4.53374,0.9110957489138167
107,107,As56,As68,2.44755,-4.40543,0.8853107026731563
108,108,As56,As76,2.44552,-4.53365,0.9110776626059556
109,109,As57,As73,2.44788,-4.50522,0.9053643989116061
110,110,As58,As74,2.44789,-4.50553,0.905426696194239
111,111,As59,As75,2.44788,-4.50579,0.90547894552806
112,112,As60,As76,2.44788,-4.50549,0.9054186578351895
113,113,As61,As77,2.46884,-4.41936,0.8881100612121042
114,114,As62,As78,2.46884,-4.41922,0.8880819269554313
115,115,As63,As79,2.46884,-4.41937,0.8881120708018665
116,116,As64,As80,2.46884,-4.41945,0.8881281475199654
117,117,As65,As67,2.43018,-4.53101,0.9105471309086963
118,118,As65,As69,2.45213,-4.45122,0.8945126141949383
119,119,As66,As68,2.43018,-4.53145,0.9106355528582396
120,120,As66,As70,2.45213,-4.45118,0.8945045758358888
121,121,As67,As71,2.45213,-4.4512,0.8945085950154136
122,122,As68,As72,2.45213,-4.45113,0.8944945278870772
123,123,As77,As81,2.54755,-3.88645,0.7810170131869281
124,124,As78,As82,2.54755,-3.88653,0.7810330899050268
125,125,As79,As83,2.54755,-3.88654,0.7810350994947891
126,126,As80,As84,2.54755,-3.88651,0.7810290707255021
