icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
53.0,53,As25,As30,2.45302,-4.35038,0.8742479110314421,True,1,As25,As18,As26,As30,As31,As43,165.167162
54.0,54,As26,As186,2.4562,-4.29521,0.8631610043125796,True,1,As26,As22,As25,As186,As17,As145,62.666174
55.0,55,As27,As133,2.56075,-3.67442,0.7384076814559076,True,1,As27,As21,As349,As133,As130,As131,-29.78596
56.0,56,As27,As349,2.45185,-4.35055,0.874282074057402,True,1,As27,As21,As133,As349,As33,As363,-50.877544
57.0,57,As28,As359,2.44806,-4.44753,0.8937710755726327,True,1,As28,As11,As23,As359,As32,As354,-74.570582
58.0,58,As29,As75,2.51822,-3.94619,0.7930223024271825,True,1,As29,As23,As354,As75,As78,As91,104.367938
59.0,59,As29,As354,2.53139,-3.88163,0.7800483909214773,True,1,As29,As23,As75,As354,As359,As406,-14.435833
60.0,60,As30,As31,2.4888,-4.13362,0.830688043342832,True,1,As30,As25,As43,As31,As72,As90,13.440551
61.0,61,As30,As43,2.47865,-4.19596,0.8432158259212965,True,1,As30,As25,As31,As43,As40,As204,61.60353
62.0,62,As31,As72,2.52995,-3.74607,0.7528063921031161,True,1,As31,As30,As90,As72,As20,As81,173.199619
63.0,63,As31,As90,2.47614,-4.25742,0.8555667646006744,True,1,As31,As30,As72,As90,As85,As93,-139.232949
64.0,64,As32,As329,2.47708,-4.16401,0.8367951866306013,True,1,As32,As24,As359,As329,As13,As344,71.095928
65.0,65,As32,As359,2.45609,-4.37707,0.8796115061071432,True,1,As32,As24,As329,As359,As28,As354,108.035261
66.0,66,As33,As42,2.55395,-3.20603,0.6442805065773873,False,0,,,,,,,
67.0,67,As33,As47,2.45998,-4.37712,0.879621554055955,False,0,,,,,,,
68.0,68,As33,As49,2.47328,-4.22217,0.8484829606884051,False,0,,,,,,,
69.0,69,As33,As349,2.71045,-2.21042,0.4442037402484657,False,0,,,,,,,
70.0,70,As34,As35,2.48977,-4.19281,0.8425828051461574,True,1,As34,As2,As38,As35,As45,As367,-124.416247
71.0,71,As34,As38,2.47213,-4.32678,0.8695052791923057,True,1,As34,As2,As35,As38,As37,As39,-123.078956
72.0,72,As35,As45,2.48972,-4.18488,0.8409892004646171,True,1,As35,As34,As367,As45,As48,As378,-73.955674
73.0,73,As35,As367,2.48327,-4.10279,0.8244924781055195,True,1,As35,As34,As45,As367,As15,As46,-52.059041
74.0,74,As36,As39,2.49203,-3.82156,0.7679767852190653,True,1,As36,As162,As317,As39,As37,As38,158.75582
75.0,75,As36,As162,2.4271,-4.61185,0.9267926545475006,True,1,As36,As39,As317,As162,As152,As159,-129.268138
76.0,76,As36,As317,2.47296,-4.28469,0.8610469158825917,True,1,As36,As39,As162,As317,As289,As319,64.823399
77.0,77,As37,As38,2.46434,-3.89196,0.7821242971459806,True,1,As37,As39,As207,As38,As34,As39,-108.617466
78.0,78,As37,As39,2.47113,-3.61806,0.727081633555326,True,1,As37,As38,As207,As39,As36,As38,106.361462
79.0,79,As37,As207,2.49453,-3.95934,0.7956649129646675,True,1,As37,As38,As39,As207,As171,As212,163.824363
80.0,80,As38,As39,2.47461,-3.81134,0.7659229844819478,True,1,As38,As34,As37,As39,As36,As37,18.13929
81.0,81,As40,As41,2.55345,-3.55645,0.7147005510295128,True,1,As40,As43,As205,As41,As42,As44,-123.978757
82.0,82,As40,As43,2.51417,-3.89109,0.7819494628366566,True,1,As40,As41,As205,As43,As30,As204,-164.431163
83.0,83,As40,As205,2.53786,-3.74675,0.7529430442069556,True,1,As40,As41,As43,As205,As210,As213,151.27813
84.0,84,As41,As42,2.42838,-4.28439,0.8609866281897214,True,1,As41,As40,As44,As42,As33,As147,149.412919
85.0,85,As41,As44,2.51666,-3.95858,0.7955121841427291,True,1,As41,As40,As42,As44,As47,As48,-104.921676
86.0,86,As42,As147,2.40518,-4.85456,0.9755674076693984,True,1,As42,As33,As41,As147,As131,As161,-81.322836
87.0,87,As43,As204,2.46215,-4.31277,0.8666898439352592,True,1,As43,As30,As40,As204,As202,As208,88.704502
88.0,88,As44,As47,2.55286,-3.78555,0.7607402524848578,True,1,As44,As41,As48,As47,As33,As386,-8.977364
89.0,89,As44,As48,2.4527,-4.45307,0.8948843883009723,True,1,As44,As41,As47,As48,As45,As46,-92.219277
90.0,90,As45,As48,2.492,-3.98966,0.8017579891241002,True,1,As45,As35,As378,As48,As44,As46,128.131341
91.0,91,As45,As378,2.4826,-4.00451,0.8047422299211838,True,1,As45,As35,As48,As378,As95,As429,162.674612
92.0,92,As46,As48,2.47051,-4.08599,0.8211163673047783,True,1,As46,As367,As369,As48,As44,As45,-157.529065
93.0,93,As46,As367,2.48035,-3.90847,0.7854421298436137,True,1,As46,As48,As369,As367,As15,As35,168.235336
94.0,94,As46,As369,2.45191,-4.22556,0.8491642116178403,True,1,As46,As48,As367,As369,As49,As479,174.554023
95.0,95,As47,As386,2.51124,-3.98217,0.8002528063921032,True,1,As47,As33,As44,As386,As365,As373,-155.103318
96.0,96,As49,As161,2.4851,-4.21698,0.8474399836017477,True,1,As49,As33,As369,As161,As147,As160,-17.190288
97.0,97,As49,As369,2.4524,-4.39865,0.8839482008142857,True,1,As49,As33,As161,As369,As46,As479,49.982713
98.0,98,As50,As54,2.52041,-3.90278,0.7842986732688388,True,1,As50,As56,As405,As54,As51,As112,-105.068727
99.0,99,As50,As56,2.46044,-4.36842,0.8778732109627142,False,0,,,,,,,
100.0,100,As50,As405,2.49926,-3.93331,0.7904339508132809,True,1,As50,As54,As56,As405,As95,As330,-62.073366
101.0,101,As51,As54,2.51953,-3.94251,0.7922827733946393,True,1,As51,As390,As427,As54,As50,As112,-6.390807
102.0,102,As51,As390,2.51506,-3.91944,0.7876466498129071,True,1,As51,As54,As427,As390,As53,As444,-163.918525
103.0,103,As51,As427,2.4843,-4.20717,0.8454685760448861,True,1,As51,As54,As390,As427,As112,As482,110.938299
104.0,104,As52,As53,2.49208,-4.03797,0.8114663172659933,True,1,As52,As57,As389,As53,As55,As390,-128.133708
105.0,105,As52,As57,2.50233,-3.85361,0.7744175204073841,True,1,As52,As53,As389,As57,As58,As65,-129.235142
106.0,106,As52,As389,2.45949,-4.33172,0.8704980165349046,True,1,As52,As53,As57,As389,As331,As394,-134.486308
107.0,107,As53,As55,2.49343,-3.95328,0.7944471015686857,False,0,,,,,,,
