bin_center,count
-25.707358532805483,5
-25.35385961287658,2
-25.000360692947677,0
-24.64686177301877,0
-24.293362853089867,0
-23.939863933160964,0
-23.58636501323206,0
-23.23286609330316,0
-22.879367173374256,0
-22.525868253445353,0
-22.17236933351645,0
-21.818870413587543,0
-21.46537149365864,0
-21.111872573729737,1
-20.758373653800835,13
-20.40487473387193,17
-20.05137581394303,28
-19.697876894014126,30
-19.34437797408522,23
-18.990879054156316,24
-18.637380134227413,20
-18.28388121429851,11
-17.930382294369608,3
-17.576883374440705,1
-17.2233844545118,0
-16.869885534582895,0
-16.516386614653992,0
-16.16288769472509,0
-15.809388774796187,0
-15.455889854867284,0
-15.10239093493838,0
-14.748892015009476,12
-14.395393095080573,36
-14.041894175151668,63
-13.688395255222765,63
-13.334896335293863,45
-12.98139741536496,29
-12.627898495436057,14
-12.274399575507152,4
-11.920900655578249,0
-11.567401735649344,0
-11.213902815720441,0
-10.860403895791539,0
-10.506904975862636,0
-10.153406055933733,5
-9.79990713600483,2
-9.446408216075925,4
-9.09290929614702,24
-8.739410376218117,51
-8.385911456289215,59
-8.032412536360312,78
-7.678913616431409,52
-7.325414696502506,8
-6.971915776573601,0
-6.618416856644696,5
-6.2649179367157934,8
-5.9114190167868905,13
-5.557920096857988,20
-5.204421176929085,30
-4.850922257000182,50
-4.497423337071277,80
-4.143924417142372,82
-3.7904254972134694,40
-3.4369265772845665,5
-3.0834276573556636,20
-2.7299287374267607,35
-2.3764298174978578,28
-2.022930897568953,20
-1.6694319776400484,10
-1.3159330577111454,5
-0.9624341377822425,5
-0.6089352178533396,3
-0.2554362979244367,6
0.09806262200446625,1
0.45156154193337095,3
0.8050604618622756,12
1.1585593817911786,10
1.5120583017200815,7
1.8655572216489844,19
2.2190561415778873,26
2.5725550615067903,40
2.926053981435695,38
3.2795529013645996,34
3.6330518212935026,36
3.9865507412224055,19
4.340049661151308,14
4.693548581080211,18
5.047047501009114,19
5.400546420938019,34
5.754045340866924,37
6.107544260795825,50
6.461043180724726,35
6.814542100653632,16
7.168041020582539,0
7.521539940511442,1
7.875038860440345,4
8.228537780369248,2
8.58203670029815,1
8.935535620227053,4
9.289034540155956,14
9.64253346008486,23
9.996032380013762,31
10.349531299942665,56
10.703030219871568,45
11.056529139800471,7
11.410028059729374,1
11.76352697965828,0
12.117025899587187,0
12.47052481951609,0
12.824023739444993,2
13.177522659373896,9
13.531021579302799,27
13.884520499231702,31
14.238019419160604,8
14.591518339089507,2
14.94501725901841,3
15.298516178947313,5
15.652015098876216,5
16.00551401880512,8
16.359012938734022,13
16.71251185866293,13
17.066010778591835,11
17.419509698520738,16
17.77300861844964,24
18.126507538378544,56
18.480006458307447,62
18.83350537823635,36
19.187004298165252,20
19.540503218094155,20
19.89400213802306,15
20.24750105795196,5
20.600999977880864,0
20.954498897809767,0
21.30799781773867,0
21.661496737667573,0
22.01499565759648,8
22.368494577525386,10
22.72199349745429,6
23.07549241738319,0
23.428991337312095,0
23.782490257240998,0
24.1359891771699,0
24.489488097098803,0
24.842987017027706,0
25.19648593695661,0
25.549984856885512,0
25.903483776814415,0
26.256982696743318,0
26.61048161667222,1
26.963980536601127,7
