bin_center,count
-27.382415417917123,9
-27.019141981598224,5
-26.655868545279322,1
-26.292595108960423,0
-25.92932167264152,0
-25.566048236322622,0
-25.202774800003723,0
-24.839501363684825,0
-24.476227927365922,0
-24.112954491047024,0
-23.74968105472812,0
-23.386407618409223,0
-23.023134182090324,0
-22.659860745771425,8
-22.296587309452523,22
-21.933313873133624,30
-21.570040436814725,43
-21.206767000495823,42
-20.843493564176924,35
-20.480220127858026,31
-20.116946691539123,21
-19.753673255220225,17
-19.390399818901326,5
-19.027126382582424,0
-18.663852946263525,0
-18.300579509944626,0
-17.937306073625724,0
-17.574032637306825,0
-17.210759200987926,0
-16.847485764669024,4
-16.484212328350125,13
-16.120938892031226,40
-15.757665455712324,89
-15.394392019393425,100
-15.031118583074527,99
-14.667845146755624,74
-14.304571710436726,38
-13.941298274117827,26
-13.578024837798925,10
-13.214751401480026,8
-12.851477965161127,5
-12.488204528842225,5
-12.124931092523326,5
-11.761657656204427,10
-11.398384219885525,10
-11.035110783566626,20
-10.671837347247727,54
-10.308563910928827,83
-9.945290474609926,113
-9.582017038291028,115
-9.218743601972127,93
-8.855470165653227,28
-8.492196729334328,9
-8.128923293015427,15
-7.765649856696527,25
-7.402376420377628,32
-7.039102984058728,46
-6.675829547739827,81
-6.312556111420928,122
-5.949282675102028,146
-5.586009238783127,105
-5.2227358024642285,36
-4.859462366145328,47
-4.4961889298264275,74
-4.132915493507529,69
-3.769642057188628,54
-3.4063686208697277,43
-3.043095184550829,23
-2.6798217482319284,24
-2.316548311913028,13
-1.9532748755941292,13
-1.5900014392752286,20
-1.2267280029563281,27
-0.8634545666374294,33
-0.5001811303185288,29
-0.13690769399962832,19
0.22636574231927042,42
0.589639178638171,52
0.9529126149570715,72
1.3161860512759702,76
1.6794594875948707,80
2.0427329239137713,80
2.40600636023267,42
2.7692797965515705,37
3.132553232870471,48
3.49582666918937,61
3.8591001055082703,92
4.222373541827171,96
4.585646978146071,97
4.948920414464972,60
5.312193850783871,35
5.675467287102769,27
6.038740723421668,18
6.402014159740567,26
6.765287596059469,31
7.1285610323783715,37
7.49183446869727,33
7.855107905016169,41
8.218381341335068,53
8.581654777653966,68
8.944928213972869,87
9.308201650291771,62
9.67147508661067,23
10.034748522929569,7
10.398021959248467,3
10.761295395567366,1
11.124568831886268,8
11.48784226820517,25
11.85111570452407,58
12.214389140842968,55
12.577662577161867,17
12.940936013480766,7
13.304209449799668,7
13.66748288611857,15
14.030756322437469,21
14.394029758756368,33
14.757303195075266,35
15.120576631394165,28
15.483850067713067,33
15.84712350403197,56
16.21039694035087,86
16.573670376669767,104
16.936943812988666,100
17.300217249307565,83
17.663490685626467,53
18.02676412194537,51
18.390037558264268,31
18.753310994583167,5
19.116584430902066,5
19.479857867220964,2
19.843131303539863,0
20.206404739858765,10
20.569678176177668,18
20.932951612496566,28
21.296225048815465,18
21.659498485134364,4
22.022771921453263,4
22.386045357772165,3
22.749318794091067,1
23.112592230409966,0
23.475865666728865,0
23.839139103047764,0
24.202412539366662,0
24.565685975685565,1
24.928959412004467,7
25.292232848323366,11
25.655506284642264,7
26.018779720961163,5
26.382053157280062,6
26.745326593598964,5
