0.1063	0.01197
0.2196	0.03392
0.3683	0.06186
0.4886	0.09179
0.5878	0.11973
0.6727	0.14966
0.7646	0.20154
0.814	0.25741
0.8492	0.3073
0.8773	0.36517
0.9196	0.43101
0.9336	0.47891
0.9476	0.51482
1.0183	0.54675
1.0681	0.51083
1.0825	0.45097
1.0969	0.40507
1.1112	0.35918
1.1327	0.3073
1.2038	0.24943
1.2748	0.21152
1.3742	0.18158
1.4662	0.21152
1.5368	0.27338
1.6145	0.32725
1.6923	0.38911
1.7345	0.45097
1.7697	0.50684
1.819	0.60462
1.8752	0.70439
1.9103	0.80815
1.924	0.91591
1.966	1.03563
1.994	1.12543
2.0008	1.20924
2.0287	1.30302
2.0851	1.38084
2.1345	1.44071
2.1769	1.46066
2.255	1.43073
2.2765	1.37885
2.3122	1.31499
2.3408	1.24116
2.3553	1.17132
2.3839	1.10946
2.4054	1.05758
2.434	0.99572
2.4555	0.93187
2.5124	0.88398
2.5551	0.84208
2.6403	0.79618
2.7326	0.75627
2.8603	0.73033
2.9452	0.75029
3.0017	0.80616
3.0794	0.86003
3.1429	0.93985
3.1994	0.99772
3.2769	1.09749
3.3049	1.1793
3.3543	1.25114
3.3823	1.33295
3.4387	1.4008
3.4737	1.49857
3.5444	1.55445
3.6222	1.58637
3.7004	1.52252
3.7361	1.45468
3.7647	1.39082
3.7934	1.32697
3.8291	1.25513
3.8506	1.18529
3.8793	1.10747
3.9221	1.04361
3.9719	0.97777
3.9936	0.88997
4.0291	0.85405
4.0294	0.79618
4.0792	0.73432
4.1361	0.68843
4.1859	0.6545
4.2782	0.6126
4.3421	0.57668
4.4837	0.6126
4.5331	0.65849
4.6251	0.70639
4.7028	0.75627
4.8443	0.82611
4.9433	0.88797
5.0351	0.95182
5.0987	1.00969
5.1623	1.04361
5.2613	1.10946
5.3177	1.16733
5.4167	1.2232
5.5229	1.2691
5.6363	1.26112
5.7499	1.21323
5.828	1.16733
5.8778	1.13141
5.9346	1.09151
5.9986	1.04761
6.0625	1.01767
6.1264	0.98774
6.1975	0.94185
6.2543	0.90992
6.3465	0.87999
6.4246	0.86003
6.5451	0.85006
6.701	0.86203
6.7647	0.876
6.8355	0.89595
6.9276	0.90393
7.0622	0.9179
7.1898	0.91591
7.3244	0.91192
7.4095	0.91591
7.4945	0.92588
7.5795	0.94384
7.6502	0.96779
7.7281	0.99373
7.806	1.01368
7.8838	1.04162
7.9758	1.06756
8.0749	1.10148
8.1528	1.11944
8.2166	1.12543
8.3583	1.11944
8.4505	1.10148
8.5428	1.07754
8.6066	1.05958
8.7343	1.03364
8.8123	1.01368
8.8904	0.99772
8.9542	0.97976
9.011	0.95182
9.0891	0.93187
9.2238	0.90593
9.3657	0.88198
9.4791	0.876
9.5854	0.88398
9.6845	0.91192
9.7482	0.93187
9.8614	0.9638
9.9676	0.99373
10.1234	1.01767
10.2013	1.03364
10.3076	1.04761
10.4138	1.06357
10.4918	1.07355
10.591	1.07554
