property,pressure,mean,std
p8_full,0,5.3,3.1287200080686173
p8_full,2,5.1,2.766867462592951
p8_full,4,5.8,3.155242550986462
p8_full,6,7.1,2.8848262031225076
p9,0,1.1,1.1005049346146119
p9,2,1.3,0.9486832980505138
p9,4,2.4,1.577621275493231
p9,6,2.3,1.888562063228706
p10,0,3.3,1.9465068427541912
p10,2,3.3,2.110818693198342
p10,4,3.0,2.260776661041756
p10,6,3.7,1.4181364924121764
