property,pressure,mean,std
p7,0,133.2,14.733182502998687
p7,2,137.1,17.025797419732736
p7,4,148.6,14.706007842601835
p7,6,163.0,13.98411797560202
p8,0,208.6,16.022206811519787
p8,2,220.4,17.07629936490925
p8,4,263.5,20.095604826263212
p8,6,333.1,38.561494899561254
