bin_center,count
-23.91492304259581,3
-23.614064456319753,2
-23.313205870043696,0
-23.01234728376764,0
-22.71148869749158,0
-22.41063011121552,0
-22.109771524939465,5
-21.808912938663408,7
-21.50805435238735,2
-21.207195766111294,0
-20.906337179835234,0
-20.605478593559177,0
-20.30462000728312,0
-20.003761421007063,2
-19.702902834731006,6
-19.40204424845495,16
-19.10118566217889,21
-18.800327075902832,14
-18.499468489626775,5
-18.198609903350718,6
-17.89775131707466,1
-17.596892730798604,0
-17.296034144522547,0
-16.995175558246487,3
-16.69431697197043,6
-16.393458385694373,3
-16.092599799418316,0
-15.79174121314226,0
-15.4908826268662,2
-15.190024040590144,7
-14.889165454314085,9
-14.588306868038028,16
-14.287448281761971,22
-13.986589695485915,25
-13.685731109209856,23
-13.384872522933799,27
-13.08401393665774,31
-12.783155350381683,23
-12.482296764105627,8
-12.18143817782957,11
-11.880579591553513,36
-11.579721005277454,33
-11.278862419001397,21
-10.978003832725339,15
-10.677145246449282,9
-10.376286660173225,8
-10.075428073897168,4
-9.77456948762111,8
-9.473710901345052,7
-9.172852315068994,12
-8.871993728792937,16
-8.57113514251688,25
-8.270276556240823,18
-7.969417969964765,21
-7.668559383688708,19
-7.367700797412649,19
-7.066842211136592,14
-6.765983624860535,12
-6.465125038584478,13
-6.164266452308421,15
-5.863407866032363,21
-5.562549279756304,20
-5.261690693480247,16
-4.96083210720419,10
-4.659973520928133,6
-4.359114934652077,4
-4.05825634837602,0
-3.757397762099961,3
-3.4565391758239024,5
-3.1556805895478455,7
-2.8548220032717886,12
-2.5539634169957317,23
-2.253104830719675,36
-1.9522462444436162,48
-1.6513876581675575,51
-1.3505290718915006,48
-1.0496704856154437,47
-0.7488118993393869,32
-0.44795331306332997,29
-0.1470947267872731,19
0.15376385948878557,9
0.45462244576484423,10
0.7554810320409011,19
1.056339618316958,24
1.3571982045930149,4
1.6580567908690718,3
1.9589153771451304,29
2.259773963421189,38
2.560632549697246,37
2.861491135973303,31
3.1623497222493597,24
3.4632083085254166,34
3.7640668948014753,29
4.064925481077534,14
4.365784067353591,11
4.666642653629648,8
4.967501239905705,23
5.2683598261817615,39
5.569218412457818,47
5.870076998733877,48
6.170935585009936,56
6.4717941712859925,56
6.772652757562049,40
7.073511343838106,46
7.374369930114163,21
7.675228516390222,12
7.976087102666279,22
8.276945688942334,33
8.577804275218394,30
8.878662861494455,16
9.179521447770512,20
9.480380034046568,16
9.781238620322625,16
10.082097206598682,13
10.38295579287474,8
10.683814379150796,10
10.984672965426853,20
11.28553155170291,22
11.586390137978967,12
11.887248724255024,15
12.18810731053108,21
12.48896589680714,28
12.789824483083201,32
13.090683069359258,36
13.391541655635315,27
13.692400241911372,19
13.993258828187429,17
14.294117414463486,6
14.594976000739543,3
14.8958345870156,0
15.196693173291656,3
15.497551759567713,5
15.79841034584377,6
16.099268932119827,0
16.400127518395887,0
16.700986104671948,2
17.001844690948005,3
17.30270327722406,1
17.60356186350012,0
17.904420449776175,0
18.205279036052232,0
18.50613762232829,0
18.806996208604346,0
19.107854794880403,0
19.40871338115646,0
19.709571967432517,2
20.010430553708574,2
20.311289139984634,1
20.612147726260694,3
20.91300631253675,4
