bin_center,count
-19.386493498142762,6
-19.110759392391763,11
-18.83502528664077,10
-18.559291180889772,4
-18.28355707513878,5
-18.00782296938778,5
-17.732088863636783,2
-17.45635475788579,0
-17.18062065213479,0
-16.9048865463838,0
-16.6291524406328,0
-16.35341833488181,0
-16.07768422913081,1
-15.801950123379816,3
-15.526216017628819,7
-15.250481911877824,8
-14.974747806126828,5
-14.699013700375833,6
-14.423279594624836,3
-14.14754548887384,7
-13.871811383122845,16
-13.59607727737185,12
-13.320343171620854,8
-13.044609065869858,1
-12.768874960118863,0
-12.493140854367866,2
-12.21740674861687,8
-11.941672642865875,13
-11.66593853711488,14
-11.390204431363882,21
-11.114470325612887,14
-10.838736219861891,13
-10.563002114110896,5
-10.2872680083599,0
-10.011533902608903,0
-9.735799796857908,1
-9.460065691106912,5
-9.184331585355917,2
-8.908597479604921,9
-8.632863373853926,21
-8.357129268102929,46
-8.081395162351933,73
-7.805661056600938,45
-7.5299269508499425,36
-7.254192845098947,44
-6.978458739347951,72
-6.702724633596954,90
-6.426990527845959,97
-6.1512564220949635,81
-5.875522316343968,42
-5.599788210592972,20
-5.324054104841975,10
-5.04831999909098,15
-4.7725858933399845,26
-4.496851787588989,38
-4.221117681837994,23
-3.9453835760869973,10
-3.669649470336001,2
-3.3939153645850046,5
-3.1181812588340083,8
-2.842447153083013,6
-2.5667130473320174,5
-2.290978941581022,8
-2.0152448358300266,13
-1.7395107300790311,9
-1.4637766243280357,15
-1.1880425185770402,17
-0.9123084128260448,27
-0.6365743070750494,35
-0.36084020132405215,32
-0.08510609557305493,29
0.1906280101779405,20
0.46636211592893595,13
0.7420962216799314,8
1.0178303274309268,2
1.2935644331819223,1
1.5692985389329177,0
1.8450326446839131,0
2.1207667504349086,3
2.396500856185906,19
2.672234961936903,26
2.9479690676878985,16
3.223703173438894,20
3.4994372791898893,29
3.7751713849408848,28
4.05090549069188,36
4.326639596442876,62
4.602373702193871,68
4.8781078079448665,68
5.153841913695862,68
5.429576019446859,41
5.705310125197856,13
5.981044230948852,11
6.256778336699847,15
6.532512442450843,6
6.808246548201838,5
7.083980653952834,3
7.359714759703829,3
7.6354488654548245,0
7.91118297120582,1
8.186917076956815,8
8.462651182707813,23
8.73838528845881,23
9.014119394209805,16
9.2898534999608,17
9.565587605711796,16
9.841321711462792,11
10.117055817213787,7
10.392789922964782,11
10.668524028715778,12
10.944258134466773,19
11.219992240217769,39
11.495726345968766,17
11.771460451719763,10
12.047194557470759,8
12.322928663221754,6
12.59866276897275,7
12.874396874723747,10
13.150130980474742,15
13.425865086225738,12
13.701599191976733,8
13.977333297727728,10
14.253067403478724,4
14.52880150922972,8
14.804535614980715,7
15.08026972073171,5
15.356003826482706,5
15.631737932233701,6
15.9074720379847,10
16.183206143735696,7
16.45894024948669,6
16.734674355237686,0
17.010408460988682,0
17.286142566739677,0
17.561876672490673,0
17.837610778241668,0
18.113344883992664,0
18.38907898974366,0
18.664813095494655,6
18.940547201245653,11
19.21628130699665,17
19.492015412747644,9
19.76774951849864,5
20.043483624249635,7
20.31921773000063,3
20.594951835751626,4
20.87068594150262,13
21.146420047253617,9
21.422154153004612,8
21.697888258755608,5
