system,pressure,mean,std
a-As,0.0,0.21845000000000003,0.009821885992234105
a-As,2.0,0.22355,0.010294146125077326
a-As,4.0,0.23964999999999997,0.008981617028377709
a-As,6.0,0.263,0.01033870827951388
a-P,0.0,0.39359879032258066,0.0031472320232726896
a-P,1.38,0.4,0.0053773940507002085
a-P,3.61,0.3992943548387097,0.0055101379804022065
a-P,6.3,0.3301411290322581,0.01165224521801056
