# frame a b c d e f angle(deg)
167 4 2 1 7 6 5 16.620771
168 6 1 2 7 5 4 23.171408
169 5 0 3 7 4 6 29.702252
170 1 0 4 7 2 3 26.358670
171 2 4 6 7 1 3 11.992952
172 2 4 5 7 0 1 9.287453
173 1 5 4 7 2 0 167.632550
174 4 1 5 7 2 3 1.740662
175 4 5 0 7 1 2 1.740662
176 4 5 0 7 2 6 55.722149
