filename,avg_void_radius,pressure
compression_0gpa,2.365,0
compression_1gpa,1.689,1
compression_2gpa,1.364,2
compression_3gpa,1.014,3
compression_4gpa,0.841,4
compression_5gpa,0.48,5
compression_6gpa,0.344,6
