property,pressure,mean,std
p7,0.0,444.2,9.199033765685513
p7,1.38,451.6,13.184165586878155
p7,3.61,446.9,13.403565031571098
p7,6.3,318.5,21.277270083876413
p8,0.0,639.0,5.395471352079548
p8,1.38,659.0,16.593171286204857
p8,3.61,669.3,17.24367839077395
p8,6.3,524.2,32.553545633822026
