filename,avg_void_radius,pressure
compression_0gpa,2.359,0
compression_1gpa,1.685,1
compression_2gpa,1.34,2
compression_3gpa,1.002,3
compression_4gpa,0.865,4
compression_5gpa,0.496,5
compression_6gpa,0.423,6
