icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
55.0,55,P19,P20,2.19885,-5.46862,0.8371212295163524,True,1,P19,P16,P35,P20,P42,P113,-59.941805
56.0,56,P19,P35,2.23694,-5.24316,0.8026084360864273,False,0,,,,,,,
57.0,57,P20,P42,2.23565,-5.25569,0.8045264938424682,True,1,P20,P19,P113,P42,P25,P60,75.247798
58.0,58,P20,P113,2.22212,-5.29093,0.8099209356080611,True,1,P20,P19,P42,P113,P54,P154,115.775082
59.0,59,P21,P59,2.27966,-4.7271,0.7236113981309269,True,1,P21,P160,P171,P59,P41,P137,44.987019
60.0,60,P21,P160,2.24313,-5.14565,0.7876818748899757,True,1,P21,P59,P171,P160,P219,P248,67.899982
61.0,61,P21,P171,2.18372,-5.67868,0.8692766335254453,True,1,P21,P59,P160,P171,P23,P242,52.226868
62.0,62,P22,P55,2.26075,-4.87928,0.7469066917713332,True,1,P22,P172,P205,P55,P5,P184,-14.720637
63.0,63,P22,P172,2.2326,-5.26732,0.8063067820869019,True,1,P22,P55,P205,P172,P10,P226,-36.656188
64.0,64,P22,P205,2.27982,-4.74229,0.7259366413323842,True,1,P22,P55,P172,P205,P5,P39,22.909563
65.0,65,P23,P150,2.23277,-5.44877,0.8340826463992407,True,1,P23,P171,P224,P150,P18,P122,38.883932
66.0,66,P23,P171,2.25623,-4.99761,0.765020321002962,True,1,P23,P150,P224,P171,P21,P242,37.891482
67.0,67,P23,P224,2.28307,-4.83794,0.7405784788715145,True,1,P23,P150,P171,P224,P105,P222,-156.932938
68.0,68,P24,P50,2.24773,-5.14876,0.7881579450911957,True,1,P24,P7,P152,P50,P98,P173,-45.342995
69.0,69,P24,P152,2.22867,-5.26889,0.8065471133460387,True,1,P24,P7,P50,P152,P82,P94,-96.620056
70.0,70,P25,P42,2.24667,-5.11635,0.7831967119009896,True,1,P25,P102,P217,P42,P20,P60,54.187623
71.0,71,P25,P102,2.25942,-4.90317,0.7505637069183256,True,1,P25,P42,P217,P102,P16,P111,4.919599
72.0,72,P25,P217,2.22286,-5.19866,0.7957964991236328,True,1,P25,P42,P102,P217,P191,P198,-71.0846
73.0,73,P26,P46,2.27853,-5.07826,0.7773660000153078,True,1,P26,P18,P83,P46,P174,P183,-8.003323
74.0,74,P26,P83,2.26113,-5.04974,0.7730002372697143,True,1,P26,P18,P46,P83,P163,P232,92.624257
75.0,75,P27,P165,2.23447,-5.29342,0.8103020979235073,True,1,P27,P203,P240,P165,P84,P193,-103.884487
76.0,76,P27,P203,2.24352,-5.16633,0.7908475121122363,True,1,P27,P165,P240,P203,P15,P221,-21.350197
77.0,77,P27,P240,2.23591,-5.31051,0.8129181878716906,True,1,P27,P165,P203,P240,P53,P146,-19.502718
78.0,78,P28,P37,2.18146,-5.41888,0.8295071678415343,False,0,,,,,,,
79.0,79,P28,P44,2.2373,-4.81448,0.7369872869356233,False,0,,,,,,,
80.0,80,P28,P76,2.22442,-5.06975,0.7760633127444452,False,0,,,,,,,
81.0,81,P28,P218,2.2376,-4.94658,0.7572087896948405,False,0,,,,,,,
82.0,82,P29,P81,2.26101,-4.64193,0.7105738100158435,False,0,,,,,,,
83.0,83,P29,P93,2.18356,-5.42855,0.830987424705135,False,0,,,,,,,
84.0,84,P29,P161,2.25803,-4.75918,0.7285221158335438,False,0,,,,,,,
85.0,85,P29,P195,2.20574,-5.26082,0.8053117800586285,False,0,,,,,,,
86.0,86,P30,P69,2.27699,-4.8544,0.743098130161573,True,1,P30,P8,P78,P69,P94,P130,17.80943
87.0,87,P30,P78,2.26425,-5.07355,0.7766450062378973,True,1,P30,P8,P69,P78,P61,P82,58.154585
88.0,88,P31,P34,2.23584,-5.21454,0.7982273656173222,True,1,P31,P6,P235,P34,P148,P219,40.153455
89.0,89,P31,P235,2.22203,-5.44841,0.8340275385945979,True,1,P31,P6,P34,P235,P14,P126,-58.776089
90.0,90,P32,P135,2.22141,-5.43572,0.832084988480938,True,1,P32,P1,P161,P135,P81,P230,68.528405
91.0,91,P32,P161,2.22397,-5.3613,0.8206929806433836,True,1,P32,P1,P135,P161,P29,P77,-65.625678
92.0,92,P33,P79,2.24848,-5.13662,0.7862995874568512,True,1,P33,P103,P125,P79,P153,P221,4.426908
93.0,93,P33,P103,2.23247,-5.17053,0.7914904364997359,True,1,P33,P79,P125,P103,P123,P191,-117.336285
94.0,94,P33,P125,2.25584,-4.95481,0.7584686153398698,True,1,P33,P79,P103,P125,P64,P221,102.307114
95.0,95,P34,P148,2.26262,-5.02821,0.7697044843976028,True,1,P34,P31,P219,P148,P145,P234,44.050926
96.0,96,P34,P219,2.26048,-4.81293,0.7367500172211888,False,0,,,,,,,
97.0,97,P35,P67,2.12779,-6.53265,1.0,False,0,,,,,,,
98.0,98,P35,P102,2.47807,-2.60565,0.3988656976877683,False,0,,,,,,,
99.0,99,P36,P157,2.21074,-5.36612,0.821430812916657,True,1,P36,P12,P230,P157,P106,P144,61.691594
100.0,100,P36,P230,2.21949,-5.29946,0.8112266844236259,True,1,P36,P12,P157,P230,P58,P135,79.008987
101.0,101,P37,P168,2.23367,-5.19081,0.7945948428279488,True,1,P37,P28,P238,P168,P38,P127,-54.151893
102.0,102,P37,P238,2.24267,-5.07434,0.7767659372536413,True,1,P37,P28,P168,P238,P129,P154,23.245266
103.0,103,P38,P54,2.25471,-5.13933,0.7867144267640238,True,1,P38,P168,P218,P54,P113,P129,21.21235
104.0,104,P38,P168,2.27385,-5.07351,0.7766388831484925,True,1,P38,P54,P218,P168,P37,P127,21.959137
105.0,105,P38,P218,2.26229,-5.1113,0.7824236718636387,True,1,P38,P54,P168,P218,P28,P154,13.634745
106.0,106,P39,P183,2.22956,-5.21213,0.7978584494806855,True,1,P39,P10,P205,P183,P46,P232,-63.928668
107.0,107,P39,P205,2.26212,-4.94598,0.757116943353769,True,1,P39,P10,P183,P205,P5,P22,99.089126
108.0,108,P40,P75,2.22377,-5.19112,0.7946422967708356,True,1,P40,P239,P241,P75,P2,P227,61.529174
109.0,109,P40,P239,2.20642,-5.29592,0.8106847910113046,True,1,P40,P75,P241,P239,P66,P114,-55.712312
110.0,110,P40,P241,2.20902,-5.39319,0.8255746136713278,True,1,P40,P75,P239,P241,P233,P245,-67.566393
111.0,111,P41,P59,2.23902,-5.20983,0.7975063718399118,True,1,P41,P96,P110,P59,P21,P137,-70.008511
112.0,112,P41,P96,2.2617,-5.1686,0.7911949974359562,True,1,P41,P59,P110,P96,P11,P95,80.89222
113.0,113,P41,P110,2.29681,-4.64614,0.7112182651756943,True,1,P41,P59,P96,P110,P139,P242,-4.98408
114.0,114,P42,P60,2.25073,-4.99824,0.7651167596610869,True,1,P42,P20,P25,P60,P16,P198,-50.431249
115.0,115,P43,P128,2.19917,-5.55462,0.8502858717365847,True,1,P43,P181,P206,P128,P147,P233,58.885754
116.0,116,P43,P181,2.27849,-4.78824,0.7329705402861013,True,1,P43,P128,P206,P181,P93,P245,12.35296
117.0,117,P43,P206,2.25746,-4.94472,0.7569240660375193,False,0,,,,,,,
118.0,118,P44,P132,2.21066,-5.39695,0.8261501840753752,True,1,P44,P28,P204,P132,P175,P202,65.117883
119.0,119,P44,P154,2.79241,-0.70587,0.1080526279534339,False,0,,,,,,,
120.0,120,P44,P204,2.24894,-5.09773,0.7803464137830742,True,1,P44,P28,P132,P204,P45,P229,-96.539745
121.0,121,P45,P202,2.21764,-5.25228,0.8040045004707125,True,1,P45,P204,P237,P202,P116,P132,68.519907
122.0,122,P45,P204,2.24396,-5.14551,0.787660444077059,True,1,P45,P202,P237,P204,P44,P229,16.812843
123.0,123,P45,P237,2.20602,-5.27144,0.8069374602955921,True,1,P45,P202,P204,P237,P72,P175,-53.873804
124.0,124,P46,P174,2.22885,-5.37869,0.8233549937621026,True,1,P46,P26,P183,P174,P118,P122,76.95735
125.0,125,P46,P183,2.25988,-5.05229,0.7733905842192679,True,1,P46,P26,P174,P183,P39,P232,32.690749
126.0,126,P47,P57,2.24925,-5.12455,0.7844519452289652,True,1,P47,P140,P170,P57,P92,P124,19.47646
127.0,127,P47,P140,2.23658,-5.16359,0.7904280804880102,True,1,P47,P57,P170,P140,P65,P209,58.976389
128.0,128,P47,P170,2.22271,-5.3249,0.8151209692850528,True,1,P47,P57,P140,P170,P176,P247,-50.679987
129.0,129,P48,P234,2.29201,-4.86612,0.7448921953571673,True,1,P48,P6,P13,P234,P148,P225,16.207949
130.0,130,P49,P84,2.22678,-5.25129,0.8038529540079447,True,1,P49,P99,P178,P84,P73,P165,-96.37773
131.0,131,P49,P99,2.19617,-5.61586,0.8596603216152708,True,1,P49,P84,P178,P99,P100,P212,66.317405
132.0,132,P49,P178,2.24004,-5.21759,0.7986942511844352,True,1,P49,P84,P99,P178,P109,P210,42.886704
133.0,133,P50,P98,2.22152,-5.36254,0.8208827964149311,True,1,P50,P24,P173,P98,P82,P167,57.516748
134.0,134,P50,P173,2.27596,-4.99114,0.7640299112917421,True,1,P50,P24,P98,P173,P97,P187,19.919128
135.0,135,P51,P166,2.24269,-5.21702,0.7986069971604172,True,1,P51,P211,P236,P166,P143,P225,-33.933299
136.0,136,P51,P211,2.28358,-4.81768,0.7374771340880041,True,1,P51,P166,P236,P211,P87,P244,-6.490948
137.0,137,P51,P236,2.23673,-5.29198,0.8100816667049359,True,1,P51,P166,P211,P236,P112,P133,76.86181
138.0,138,P52,P63,2.22047,-5.20179,0.7962756308695552,True,1,P52,P163,P199,P63,P85,P156,84.211533
139.0,139,P52,P163,2.24312,-5.02799,0.7696708074058766,True,1,P52,P63,P199,P163,P83,P134,-96.031817
140.0,140,P52,P199,2.26452,-4.91034,0.7516612706941287,True,1,P52,P63,P163,P199,P101,P134,-13.03222
141.0,141,P53,P64,2.28229,-4.85333,0.7429343375199956,True,1,P53,P193,P240,P64,P15,P125,-19.751283
142.0,142,P53,P193,2.18559,-5.80521,0.8886454960850496,True,1,P53,P64,P240,P193,P109,P165,65.176869
143.0,143,P53,P240,2.22444,-5.3005,0.8113858847481497,True,1,P53,P64,P193,P240,P27,P146,47.752033
144.0,144,P54,P113,2.24616,-4.95737,0.7588604930617743,True,1,P54,P38,P129,P113,P20,P154,-48.954414
145.0,145,P54,P129,2.19155,-5.6348,0.8625596044484245,True,1,P54,P38,P113,P129,P127,P238,-50.684725
146.0,146,P55,P184,2.25164,-5.08852,0.7789365724476284,True,1,P55,P5,P22,P184,P86,P226,51.089046
147.0,147,P56,P142,2.20854,-5.28101,0.8084024094356808,True,1,P56,P158,P188,P142,P80,P120,-53.18389
148.0,148,P56,P158,2.24223,-5.13627,0.7862460104245597,True,1,P56,P142,P188,P158,P151,P243,24.873926
149.0,149,P56,P188,2.21437,-5.38663,0.8245704270089473,True,1,P56,P142,P158,P188,P185,P213,54.300205
150.0,150,P57,P92,2.24775,-5.10406,0.7813153926813773,True,1,P57,P47,P124,P92,P65,P231,-84.091136
151.0,151,P57,P124,2.24061,-5.31648,0.8138320589653509,True,1,P57,P47,P92,P124,P9,P176,18.68327
152.0,152,P58,P144,2.22018,-5.23606,0.8015215877170826,True,1,P58,P3,P230,P144,P157,P208,-61.459504
153.0,153,P58,P230,2.26892,-4.94219,0.7565367806326682,True,1,P58,P3,P144,P230,P36,P135,-11.550701
154.0,154,P59,P137,2.20371,-5.34733,0.8185544916687715,True,1,P59,P21,P41,P137,P242,P248,-56.843042
155.0,155,P60,P198,2.29718,-4.7961,0.7341737273541366,True,1,P60,P16,P42,P198,P111,P217,-3.253226
156.0,156,P61,P78,2.2095,-5.49625,0.8413507535226898,True,1,P61,P94,P192,P78,P30,P82,-49.201407
157.0,157,P61,P94,2.20946,-5.4044,0.8272906094770116,True,1,P61,P78,P192,P94,P69,P152,61.795886
158.0,158,P61,P192,2.23003,-5.21471,0.7982533887472925,True,1,P61,P78,P94,P192,P8,P189,22.999892
159.0,159,P62,P123,2.26662,-4.76846,0.729942672575448,True,1,P62,P164,P222,P123,P103,P115,-149.985225
160.0,160,P62,P164,2.21375,-5.27751,0.8078666391127644,True,1,P62,P123,P222,P164,P149,P216,86.491394
161.0,161,P62,P222,2.29987,-4.70466,0.7201763449748569,True,1,P62,P123,P164,P222,P169,P224,-117.426118
162.0,162,P63,P85,2.19869,-5.55138,0.8497899014947992,True,1,P63,P52,P156,P85,P189,P200,-68.844983
163.0,163,P63,P156,2.23807,-5.21008,0.7975446411486915,True,1,P63,P52,P85,P156,P101,P115,-56.693561
164.0,164,P64,P125,2.23238,-5.35303,0.8194270319089497,True,1,P64,P15,P53,P125,P33,P221,-81.583035
165.0,165,P65,P92,2.22671,-5.19053,0.7945519812021155,True,1,P65,P140,P247,P92,P57,P231,56.113518
166.0,166,P65,P140,2.21291,-5.16728,0.7909929354855992,True,1,P65,P92,P247,P140,P47,P209,-56.370136
167.0,167,P65,P246,2.61223,-1.51748,0.23229164274834865,False,0,,,,,,,
168.0,168,P65,P247,2.30959,-4.10971,0.6291030439408203,True,1,P65,P92,P140,P247,P9,P170,24.861833
169.0,169,P66,P227,2.19394,-5.53046,0.8465875257361101,False,0,,,,,,,
170.0,170,P66,P233,2.20905,-5.33192,0.816195571475588,True,1,P66,P227,P239,P233,P128,P241,76.431707
171.0,171,P66,P239,2.22657,-5.20049,0.7960766304639005,True,1,P66,P227,P233,P239,P40,P114,60.361995
172.0,172,P67,P138,2.21114,-5.37856,0.8233350937215372,False,0,,,,,,,
173.0,173,P67,P247,2.66309,-1.60113,0.24509655346605128,False,0,,,,,,,
174.0,174,P68,P231,2.30616,-4.41263,0.6754732000030615,True,1,P68,P14,P246,P231,P92,P209,-79.021328
175.0,175,P68,P246,2.25035,-4.74357,0.7261325801933365,False,0,,,,,,,
176.0,176,P69,P94,2.23091,-5.18123,0.793128362915509,True,1,P69,P30,P130,P94,P61,P152,-90.966983
177.0,177,P69,P130,2.24338,-5.1059,0.7815970547939963,True,1,P69,P30,P94,P130,P189,P201,25.972519
178.0,178,P70,P175,2.27493,-5.01645,0.7679042961126036,True,1,P70,P187,P229,P175,P132,P237,-101.092908
179.0,179,P70,P187,2.28306,-4.7629,0.7290915631481864,True,1,P70,P175,P229,P187,P173,P207,25.794794
180.0,180,P70,P229,2.18906,-5.77722,0.8843608642740695,True,1,P70,P175,P187,P229,P72,P204,73.45787
181.0,181,P71,P104,2.21496,-5.56789,0.8523172066466136,True,1,P71,P12,P120,P104,P106,P194,41.267143
182.0,182,P71,P120,2.22831,-5.31942,0.8142821060366008,True,1,P71,P12,P104,P120,P142,P213,88.316592
183.0,183,P72,P90,2.1932,-5.55186,0.8498633785676563,True,1,P72,P229,P237,P90,P97,P207,-55.875912
184.0,184,P72,P229,2.2293,-5.2868,0.8092887266270197,True,1,P72,P90,P237,P229,P70,P204,-58.026556
